Composite.Element.REF	TCGA-AF-2689-01A-21-1932-20	TCGA-AF-2690-01A-11-1932-20	TCGA-AF-3400-01A-21-1932-20	TCGA-AF-3913-01A-11-1933-20	TCGA-AF-3914-01A-21-1933-20	TCGA-AF-5654-01A-41-1936-20
YWHAE|14-3-3_epsilon-M-C	-2.109220136	-2.441151209	-1.990352134	-1.63420305	-1.229315001	-1.629693171
EIF4EBP1|4E-BP1-R-V	-1.642983494	-2.301831113	-1.841513842	-1.757614628	-1.240094268	-1.471153804
EIF4EBP1|4E-BP1_pS65-R-V	-1.35830298	0.002907917	-1.096991455	-1.052575052	-1.602167372	-1.491143869
EIF4EBP1|4E-BP1_pT37-R-V	-0.556010361	-0.675492626	-1.044378643	-0.389146168	-1.286263854	0.071316743
EIF4EBP1|4E-BP1_pT70-R-C	-0.617309886	-0.805942656	-0.540124661	-0.777720562	-0.95999229	-0.698877442
TP53BP1|53BP1-R-C	1.648319652	0.235497895	0.641979436	0.771153382	0.352718961	2.336996278
ACACA|ACC1-R-C	1.243781001	0.915546548	1.311883271	1.933778387	1.608546906	2.561611598
ACACA ACACB|ACC_pS79-R-V	-2.207466345	-2.467445924	-2.538982924	-1.663841461	-1.987070937	-1.033399021
NCOA3|AIB1-M-V	-0.877554876	-1.610950523	-1.397530353	-1.225420966	-1.692606797	-1.030409122
PRKAA1|AMPK_alpha-R-C	1.327247168	0.828683429	0.908058584	1.941356215	0.547747644	1.330474092
PRKAA1|AMPK_pT172-R-V	2.911965753	2.102409852	2.078364331	2.214105962	0.488959955	3.196896139
AR|AR-R-V	-2.421349226	-1.939658638	-1.667207005	-2.202408135	-2.161964583	-2.107045242
ARID1A|ARID1A-M-V	-0.630196275	-1.041071582	-1.014892271	-1.063008124	-0.857904517	-0.574359061
ATM|ATM-R-C	0.803810757	0.497638304	1.227127441	0.429144605	-0.582456377	1.247853938
AKT1 AKT2 AKT3|Akt-R-V	1.626533191	1.76244977	2.093337293	1.82420182	0.515496951	1.743040135
AKT1 AKT2 AKT3|Akt_pS473-R-V	-2.812578079	-1.705437278	-2.231549781	-2.026324108	-3.848717877	-2.685508787
AKT1 AKT2 AKT3|Akt_pT308-R-V	-2.445310529	-1.226119953	-1.755093303	-0.459189552	-1.653585527	-1.684884242
ANXA1|Annexin_I-R-V	1.12383861	1.823652952	1.996775953	1.744881411	3.05116104	0.987926997
BRAF|B-Raf-M-NA	0.51574936	-0.059306112	0.665384801	0.436221025	-0.309788754	0.738858985
BAK1|Bak-R-C	-2.968663637	-2.540246897	-2.249714907	-2.926354205	-2.201079199	-2.592703531
BAX|Bax-R-V	-0.13359472	-0.461610841	-0.304560592	-0.151875937	0.243189418	0.727918735
BCL2|Bcl-2-R-NA	-1.76509168	-1.361846625	-2.22012168	-2.441660109	-2.005824768	-2.482505844
BCL2L1|Bcl-X-R-C	-1.805283206	-1.688211902	-1.773437137	-1.579167062	-1.135213217	-1.968747545
BCL2L1|Bcl-xL-R-V	-1.552873518	-1.40944077	-1.384192735	-1.470222377	-1.258549824	-1.938708666
BECN1|Beclin-G-V	-1.639902142	-1.916921725	-1.709282998	-1.770275384	-1.423155538	-1.515394598
BID|Bid-R-C	-2.777754064	-2.429686233	-2.19770784	-2.567517189	-2.480685357	-2.426657297
BCL2L11|Bim-R-V	-1.071984016	-0.648038311	-1.056435011	-1.141519295	-0.391021536	-1.269473108
RAF1|C-Raf-R-V	0.926289417	0.728205407	1.260969372	0.603860005	0.271104426	0.845853891
RAF1|C-Raf_pS338-R-C	-2.460836296	-2.640264001	-2.035020541	-2.290757008	-2.227124326	-1.900591124
CD20|CD20-R-C	-2.568470114	-2.283548456	-2.333624438	-2.362746647	-2.102744938	-2.51393936
