Hybridization REF	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	3440	2631.874912	N	6081	3168.088425	N	2672	2113.813677	N	2837	2843.332101	N	8863	2556.196375	N	2837	2316.466755	N
hsa-let-7a-2	6901	5279.816503	N	12073	6289.809498	N	5335	4220.507474	Y	5667	5679.648577	Y	17568	5066.82364	Y	5631	4597.823158	N
hsa-let-7a-3	3425	2620.398714	N	6036	3144.644258	N	2712	2145.457595	N	2892	2898.454859	N	8967	2586.191233	N	2861	2336.063231	N
hsa-let-7b	8334	6376.176023	N	38296	19951.50704	N	11897	9411.692111	N	17945	17985.05271	N	39210	11308.63814	N	11435	9336.904247	N
hsa-let-7c	195	149.190584	N	1091	568.390803	N	423	334.634426	Y	196	196.437466	Y	4468	1288.625229	Y	601	490.728417	N
hsa-let-7d	1253	958.645135	N	708	368.854893	N	548	433.521667	N	303	303.676287	N	2206	636.237076	N	657	536.453528	N
hsa-let-7e	494	377.949479	N	403	209.955539	N	300	237.32938	N	288	288.642808	N	1051	303.121109	N	247	201.680398	N
hsa-let-7f-1	24	18.361918	N	18	9.377667	N	12	9.493175	N	10	10.02232	N	49	14.132193	N	11	8.981718	N
hsa-let-7f-2	2670	2042.763377	N	3668	1910.960096	N	1833	1450.082512	N	1671	1674.729623	N	6909	1992.639147	N	2562	2091.923802	N
hsa-let-7g	1080	826.28631	N	939	489.201617	N	849	671.642145	N	360	360.803509	N	1788	515.680821	N	698	569.930841	N
hsa-let-7i	764	584.521056	N	721	375.627652	N	437	345.709797	N	564	565.258831	N	1423	410.410408	N	431	351.920046	N
hsa-mir-1-1	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	1	0.81652	N
hsa-mir-1-2	35	26.777797	N	114	59.39189	N	32	25.315134	N	10	10.02232	N	450	129.785442	N	53	43.275551	N
hsa-mir-100	702	537.086101	N	4592	2392.34699	Y	1982	1567.956104	Y	3888	3896.677902	Y	12096	3488.63267	Y	1969	1607.727544	Y
hsa-mir-101-1	9827	7518.440339	N	41049	21385.76908	N	13741	10870.4767	N	14336	14367.99753	N	24953	7196.746942	N	21500	17555.17633	N
hsa-mir-101-2	2	1.53016	N	0	0	N	1	0.791098	N	1	1.002232	N	4	1.153648	N	2	1.63304	N
hsa-mir-103-1	4529	3465.046941	Y	5461	2845.079903	Y	2341	1851.960262	Y	3610	3618.057414	Y	31063	8958.944827	Y	1798	1468.102653	Y
hsa-mir-103-1-as	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-103-2	36	27.542877	N	47	24.48613	N	132	104.424927	N	68	68.151774	N	23	6.633478	N	30	24.495595	N
hsa-mir-103-2-as	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-105-1	72	55.085754	N	1	0.520981	N	0	0	N	0	0	N	1	0.288412	N	0	0	N
hsa-mir-105-2	71	54.320674	N	1	0.520981	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-106a	266	203.511258	Y	670	349.057597	Y	1166	922.42019	Y	92	92.205341	Y	450	129.785442	Y	512	418.058153	Y
hsa-mir-106b	1320	1009.90549	N	782	407.407523	N	1245	984.916927	N	608	609.357038	N	2098	605.08857	N	694	566.664761	N
hsa-mir-107	1017	778.086275	Y	883	460.026653	Y	381	301.408313	Y	689	690.537828	Y	4389	1265.840674	Y	297	242.506389	Y
hsa-mir-10a	23468	17954.89548	N	56141	29248.42169	N	81990	64862.11954	N	11167	11191.92442	N	504506	145505.6311	N	9500	7756.938377	N
hsa-mir-10b	77426	59237.07761	N	21283	11088.049	N	11445	9054.115845	N	6452	6466.400674	N	57589	16609.36399	N	7649	6245.560173	N
hsa-mir-1178	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
