GeneSymbol	Chromosome	Strand	txStarts	txEnds	MappingID	TotalMappingNumber	AbnormalMerge	OverlapWith
DDX11L1	CHR1	+	11873	14409	1	1	N	
WASH7P	CHR1	-	14361	29370	1	1	N	
FAM138A	CHR1	-	34610	36081	1	1	N	
OR4F5	CHR1	+	69090	70008	1	1	N	
LOC729737	CHR1	-	134772	140566	1	1	N	
LOC100132287	CHR1	+	323891	328581	1	1	N	
OR4F29	CHR1	+	367658	368597	1	1	N	
OR4F16	CHR1	-	621095	622034	1	1	N	
LOC100133331	CHR1	-	661138	665731	1	1	N	
LOC100288069	CHR1	-	700244	714068	1	1	N	
LINC00115	CHR1	-	761585	762902	1	1	N	
LOC643837	CHR1	+	762970	794826	1	1	N	
FAM41C	CHR1	-	803450	812182	1	1	N	
LOC100130417	CHR1	-	852952	854817	1	1	N	
SAMD11	CHR1	+	861120	879961	1	1	N	
NOC2L	CHR1	-	879582	894679	1	1	N	
KLHL17	CHR1	+	895966	901099	1	1	N	
PLEKHN1	CHR1	+	901876	910484	1	1	N	
C1orf170	CHR1	-	910578	917473	1	1	N	
HES4	CHR1	-	934341	935552	1	1	N	
ISG15	CHR1	+	948846	949919	1	1	N	
AGRN	CHR1	+	955502	991499	1	1	N	
RNF223	CHR1	-	1007125	1009687	1	1	N	
C1orf159	CHR1	-	1017197	1051736	1	1	N	
LOC254099	CHR1	+	1072396	1079434	1	1	N	
MIR200B	CHR1	+	1102483	1102578	1	1	N	
MIR200A	CHR1	+	1103242	1103332	1	1	N	
MIR429	CHR1	+	1104384	1104467	1	1	N	
TTLL10	CHR1	+	1109285	1133313	1	1	N	
TNFRSF18	CHR1	-	1138887	1142089	1	1	N	
TNFRSF4	CHR1	-	1146705	1149548	1	1	N	
SDF4	CHR1	-	1152287	1167447	1	1	N	
B3GALT6	CHR1	+	1167628	1170420	1	1	N	
FAM132A	CHR1	-	1177825	1182102	1	1	N	
UBE2J2	CHR1	-	1189291	1209234	1	1	N	
