Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AF-2687-10A-01D-1732-01	1	51598	808449	69	-0.0395
TCGA-AF-2687-10A-01D-1732-01	1	813999	2494548	442	0.3484
TCGA-AF-2687-10A-01D-1732-01	1	2495573	2542686	16	-0.133
TCGA-AF-2687-10A-01D-1732-01	1	2543484	3192305	222	0.3909
TCGA-AF-2687-10A-01D-1732-01	1	3192756	9292970	3972	0.0204
TCGA-AF-2687-10A-01D-1732-01	1	9293390	9309337	12	0.623
TCGA-AF-2687-10A-01D-1732-01	1	9309898	10289931	463	0.0274
TCGA-AF-2687-10A-01D-1732-01	1	10292989	10300111	17	0.5921
TCGA-AF-2687-10A-01D-1732-01	1	10300212	16019619	3192	0.0164
TCGA-AF-2687-10A-01D-1732-01	1	16019650	16026788	17	0.6853
TCGA-AF-2687-10A-01D-1732-01	1	16026826	21561006	3458	0.0312
TCGA-AF-2687-10A-01D-1732-01	1	21561490	21610330	30	0.4049
TCGA-AF-2687-10A-01D-1732-01	1	21615324	22170872	323	0.008
TCGA-AF-2687-10A-01D-1732-01	1	22173052	22173785	2	1.3362
TCGA-AF-2687-10A-01D-1732-01	1	22174063	25455928	1926	0.0164
TCGA-AF-2687-10A-01D-1732-01	1	25465715	25519533	27	-1.6974
TCGA-AF-2687-10A-01D-1732-01	1	25519573	26667699	545	0.0288
TCGA-AF-2687-10A-01D-1732-01	1	26676596	26743924	30	0.387
TCGA-AF-2687-10A-01D-1732-01	1	26745832	30511121	1828	0.0061
TCGA-AF-2687-10A-01D-1732-01	1	30511886	30512383	3	-1.3549
TCGA-AF-2687-10A-01D-1732-01	1	30514083	37545637	3997	0.0137
TCGA-AF-2687-10A-01D-1732-01	1	37546173	37548885	5	0.9264
TCGA-AF-2687-10A-01D-1732-01	1	37550346	38507867	512	-0.0025
TCGA-AF-2687-10A-01D-1732-01	1	38508458	38510180	4	-1.5543
TCGA-AF-2687-10A-01D-1732-01	1	38511277	39904807	772	0.0092
TCGA-AF-2687-10A-01D-1732-01	1	39907604	39932735	24	0.671
TCGA-AF-2687-10A-01D-1732-01	1	39933600	111729917	46145	-2.00E-04
TCGA-AF-2687-10A-01D-1732-01	1	111730660	111737191	6	-1.2366
